Name,LSTMED Test Loss,LSTMED Train Trend Accuracy,LSTMED Test Trend Accuracy,Random Forest MSE,Random Forest MAE,XGBoost MSE,XGBoost MAE,Random Forest Trend Accuracy,XGBoost Trend Accuracy,Prophet MSE,Prophet MAE
LASR and LPSN,0.004379551857709885,0.4793956043956044,0.4888888888888889,0.0006089300275855704,0.01924543046745516,0.0007364503547819324,0.020641528727115523,0.563953488372093,0.47093023255813954,82.37137607488299,7.288672696938739
LASR and TWOU,0.0022610449232161045,0.5082417582417582,0.5055555555555555,0.0010533791726335274,0.024067598422357905,0.0011512193379769197,0.026223462748146183,0.436046511627907,0.4476744186046512,43.08837454602209,4.642288717690637
TWOU and WIX,0.014454654417932034,0.5164835164835165,0.46111111111111114,0.00035771446747871733,0.013215281388497209,0.0004423844867790408,0.015311009831317049,0.6162790697674418,0.5813953488372093,438.5221020330278,15.857254328814012
CERS and CEVA,0.01153708528727293,0.49725274725274726,0.4666666666666667,0.0007545035103911448,0.020629014616598152,0.0009318254323537833,0.02334555033637806,0.5581395348837209,0.4941860465116279,210.95281572119282,13.788677267218315
CERS and PXLW,0.00214078975841403,0.0,0.005555555555555556,0.0004987963797176891,0.017311900998741688,0.0005156392729490232,0.016849807612106252,0.436046511627907,0.4418604651162791,0.15640226654091513,0.35235852662206807
CSGS and JKHY,0.22687125205993652,0.0,0.0,0.001589208406562574,0.029418096167561,0.004157816298707278,0.0379725401378423,0.48255813953488375,0.5,80.96670723863248,7.7108252571782305
JKHY and OSIS,0.025254566222429276,0.49862637362637363,0.5611111111111111,0.0016402657146133747,0.030270266368591613,0.00192553878243277,0.033314783502356206,0.5232558139534884,0.48255813953488375,91.06961704841727,7.103558436092971
CLPS and JG,0.006480413023382425,0.43956043956043955,0.46111111111111114,0.00014813266547499118,0.009273320685720723,0.00020698602180164216,0.011287920872416611,0.5348837209302325,0.5872093023255814,905.8802227876776,27.558924049350846
GOOG and GOOGL,0.023295346647500992,0.44505494505494503,0.4388888888888889,0.0009422046875593365,0.022791810023853783,0.0011466495062254806,0.025769775373162017,0.6046511627906976,0.5232558139534884,3.7959496480706147,1.684291804197227
LEDS and VERB,0.04025421664118767,0.49313186813186816,0.4722222222222222,0.0009497996716742497,0.024808146740306684,0.00217738098755614,0.03829960031641839,0.5058139534883721,0.5232558139534884,323.77326605934434,16.458838674950083
